UTC_h,Rrot_300,Rrot_350,Rrot_366,Rrot_380,Rrot_385,Rfull_300,Rfull_350,Rfull_366,Rfull_380,Rfull_385
1.666666666666666741e+00,1.004521241037000800e+00,1.013034585989017522e+00,1.022518594419992821e+00,1.037598971855986152e+00,1.037730470306040154e+00,1.005663256454245369e+00,1.016349724325698034e+00,1.028295464578487861e+00,1.047433056027875731e+00,1.047641164275795234e+00
1.750000000000000000e+00,1.004616238045058285e+00,1.013310154997941748e+00,1.022998366741677767e+00,1.038414037540141388e+00,1.038551424597499162e+00,1.005753572637496429e+00,1.016612121243649858e+00,1.028753187569676042e+00,1.048214164083996591e+00,1.048428814191910918e+00
1.833333333333333259e+00,1.004709026202170064e+00,1.013579350937506618e+00,1.023467118249216989e+00,1.039210664853449373e+00,1.039353894672744527e+00,1.005841671762981671e+00,1.016868107889171258e+00,1.029199795826971631e+00,1.048976577782285702e+00,1.049197674352365661e+00
1.916666666666666741e+00,1.004799560769912725e+00,1.013842041555625295e+00,1.023924613305639664e+00,1.039988433026895587e+00,1.040137450799104357e+00,1.005927509184008306e+00,1.017117552197091213e+00,1.029635053866278183e+00,1.049719874534680075e+00,1.049947313982654729e+00
2.000000000000000000e+00,1.004887798139085797e+00,1.014098097873694648e+00,1.024370621968058614e+00,1.040746930946150561e+00,1.040901673262189409e+00,1.006011041386372096e+00,1.017360325393744658e+00,1.030058731948742201e+00,1.050443641563861163e+00,1.050677312203346592e+00
2.083333333333333481e+00,1.004973695754084906e+00,1.014347393972463651e+00,1.024804919627370303e+00,1.041485756585385447e+00,1.041646150794129699e+00,1.006092225912677218e+00,1.017596301782841772e+00,1.030470605718107002e+00,1.051147475343854332e+00,1.051387257482467641e+00
2.166666666666666519e+00,1.005057212228472663e+00,1.014589807333773352e+00,1.025227287616124583e+00,1.042204520645538368e+00,1.042370482365078121e+00,1.006171021477844985e+00,1.017825359086893977e+00,1.030870456810161651e+00,1.051830982687987026e+00,1.052076748734329215e+00
2.250000000000000000e+00,1.005138307273259368e+00,1.014825218637792847e+00,1.025637512867327850e+00,1.042902852024567339e+00,1.043074276697393055e+00,1.006247387897281742e+00,1.018047378243913448e+00,1.031258072509540602e+00,1.052493780204284191e+00,1.052745394792483413e+00
2.333333333333333481e+00,1.005216941795917363e+00,1.015053512056131702e+00,1.026035388438536700e+00,1.043580379199795738e+00,1.043757153222234946e+00,1.006321286185851482e+00,1.018262243700881475e+00,1.031633246274613391e+00,1.053135495256571019e+00,1.053392815376300806e+00
2.416666666666666519e+00,1.005293077884605646e+00,1.015274575211824404e+00,1.026420713453289446e+00,1.044236739711454698e+00,1.044418742031211211e+00,1.006392678541981001e+00,1.018469843372906913e+00,1.031995777676834480e+00,1.053755765897355090e+00,1.054018641049241811e+00
2.500000000000000000e+00,1.005366678797704694e+00,1.015488299154282403e+00,1.026793293070233704e+00,1.044871581630143931e+00,1.045058683896567642e+00,1.006461528337171396e+00,1.018670068618246161e+00,1.032345472381489326e+00,1.054354240868604631e+00,1.054622513215435209e+00
2.583333333333333481e+00,1.005437709052567463e+00,1.015694578622637012e+00,1.027152938953155514e+00,1.045484564406133021e+00,1.045676631127277600e+00,1.006527800204604972e+00,1.018862814501206859e+00,1.032682143349803905e+00,1.054930580451838740e+00,1.055204085000507108e+00
2.666666666666666519e+00,1.005506134364110959e+00,1.015893311872444471e+00,1.027499468980818342e+00,1.046075358428449453e+00,1.046272247133218425e+00,1.006591459977707048e+00,1.019047979618713740e+00,1.033005609407605663e+00,1.055484456010971739e+00,1.055763020795964957e+00
2.750000000000000000e+00,1.005571921737903329e+00,1.016084400951472455e+00,1.027832707739932960e+00,1.046643645904303588e+00,1.046845207330714622e+00,1.006652474783086060e+00,1.019225466375566658e+00,1.033315695634658971e+00,1.056015550886440835e+00,1.056298997164003550e+00
2.833333333333333481e+00,1.005635039413103060e+00,1.016267751539021047e+00,1.028152486254727993e+00,1.047189120444880661e+00,1.047395198723188647e+00,1.006710812983478087e+00,1.019395180823544411e+00,1.033612233597815955e+00,1.056523559970253823e+00,1.056811702433108735e+00
