drift_us,survival_tau566us,logS2c_70keV_ER
5.960075187969924855e+02,3.487672958559188685e-01,4.168845319339560263e+00
5.982431077694236592e+02,3.473920158116339807e-01,4.167129397994279394e+00
6.004786967418547192e+02,3.460221588538102133e-01,4.165413476648998525e+00
6.027142857142857792e+02,3.446577035978088399e-01,4.163697555303717657e+00
6.049498746867168393e+02,3.432986287433164030e-01,4.161981633958436788e+00
6.071854636591478993e+02,3.419449130740121467e-01,4.160265712613156808e+00
6.094210526315789593e+02,3.405965354572367820e-01,4.158549791267875939e+00
6.116566416040100194e+02,3.392534748436625280e-01,4.156833869922595071e+00
6.138922305764410794e+02,3.379157102669645418e-01,4.155117948577314202e+00
6.161278195488722531e+02,3.365832208434937911e-01,4.153402027232033333e+00
6.183634085213033131e+02,3.352559857719508707e-01,4.151686105886752465e+00
6.205989974937343732e+02,3.339339843330611513e-01,4.149970184541471596e+00
6.228345864661654332e+02,3.326171958892515934e-01,4.148254263196191616e+00
6.250701754385964932e+02,3.313055998843285055e-01,4.146538341850910747e+00
6.273057644110275533e+02,3.299991758431564670e-01,4.144822420505629879e+00
6.295413533834587270e+02,3.286979033713389176e-01,4.143106499160349010e+00
6.317769423558897870e+02,3.274017621548998558e-01,4.141390577815068141e+00
6.340125313283208470e+02,3.261107319599663157e-01,4.139674656469788161e+00
6.362481203007519071e+02,3.248247926324527302e-01,4.137958735124507292e+00
6.384837092731829671e+02,3.235439240977466824e-01,4.136242813779226424e+00
6.407192982456140271e+02,3.222681063603948237e-01,4.134526892433945555e+00
6.429548872180450871e+02,3.209973195037911231e-01,4.132810971088664687e+00
6.451904761904762609e+02,3.197315436898659491e-01,4.131095049743383818e+00
6.474260651629073209e+02,3.184707591587764841e-01,4.129379128398103838e+00
6.496616541353383809e+02,3.172149462285978605e-01,4.127663207052822969e+00
6.518972431077694409e+02,3.159640852950162393e-01,4.125947285707542100e+00
6.541328320802005010e+02,3.147181568310227218e-01,4.124231364362261232e+00
6.563684210526315610e+02,3.134771413866083156e-01,4.122515443016980363e+00
6.586040100250627347e+02,3.122410195884607886e-01,4.120799521671699495e+00
6.608395989974937947e+02,3.110097721396617443e-01,4.119083600326419514e+00
6.630751879699248548e+02,3.097833798193853627e-01,4.117367678981138646e+00
6.653107769423559148e+02,3.085618234825988626e-01,4.115651757635857777e+00
6.675463659147869748e+02,3.073450840597630185e-01,4.113935836290576908e+00
6.697819548872180349e+02,3.061331425565348430e-01,4.112219914945296040e+00
6.720175438596490949e+02,3.049259800534711573e-01,4.110503993600016059e+00
6.742531328320802686e+02,3.037235777057326613e-01,4.108788072254735191e+00
6.764887218045113286e+02,3.025259167427906681e-01,4.107072150909454322e+00
6.787243107769423887e+02,3.013329784681330614e-01,4.105356229564173454e+00
6.809598997493734487e+02,3.001447442589733616e-01,4.103640308218892585e+00
6.831954887218045087e+02,2.989611955659592368e-01,4.101924386873611716e+00
6.854310776942355687e+02,2.977823139128835117e-01,4.100208465528331736e+00
6.876666666666667425e+02,2.966080808963951765e-01,4.098492544183050867e+00
6.899022556390978025e+02,2.954384781857128384e-01,4.096776622837769999e+00
6.921378446115288625e+02,2.942734875223378399e-01,4.095060701492489130e+00
6.943734335839599225e+02,2.931130907197696533e-01,4.093344780147208262e+00
6.966090225563909826e+02,2.919572696632217745e-01,4.091628858801927393e+00
6.988446115288220426e+02,2.908060063093389491e-01,4.089912937456647413e+00
7.010802005012531026e+02,2.896592826859157865e-01,4.088197016111366544e+00
7.033157894736842763e+02,2.885170808916157070e-01,4.086481094766085675e+00
7.055513784461153364e+02,2.873793830956919981e-01,4.084765173420804807e+00
7.077869674185463964e+02,2.862461715377090377e-01,4.083049252075523938e+00
